"species","longitude","latitude","bio_1","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19"
"Indri indri",48.582275,-18.940912,21.0634384155273,10.3508338928223,64.0204925537109,254.792343139648,28.8147506713867,12.6467504501343,16.1679992675781,23.8165416717529,18.8640422821045,23.8165416717529,17.7918758392334,2578,430,74,61.3506774902344,1242,303,1242,372
"Indri indri",48.568315,-18.854088,21.0634384155273,10.3508338928223,64.0204925537109,254.792343139648,28.8147506713867,12.6467504501343,16.1679992675781,23.8165416717529,18.8640422821045,23.8165416717529,17.7918758392334,2578,430,74,61.3506774902344,1242,303,1242,372
"Indri indri",48.476144,-18.99205,19.15012550354,10.6996669769287,64.2545394897461,267.000823974609,27.2245006561279,10.5725002288818,16.6520004272461,21.9760837554932,16.9418754577637,21.9761657714844,15.7165412902832,1814,325,51,71.144889831543,911,178,907,238
"Indri indri",48.487546,-18.982507,19.15012550354,10.6996669769287,64.2545394897461,267.000823974609,27.2245006561279,10.5725002288818,16.6520004272461,21.9760837554932,16.9418754577637,21.9761657714844,15.7165412902832,1814,325,51,71.144889831543,911,178,907,238
"Indri indri",48.421582,-18.995769,19.15012550354,10.6996669769287,64.2545394897461,267.000823974609,27.2245006561279,10.5725002288818,16.6520004272461,21.9760837554932,16.9418754577637,21.9761657714844,15.7165412902832,1814,325,51,71.144889831543,911,178,907,238
"Indri indri",48.577846,-18.886407,21.0634384155273,10.3508338928223,64.0204925537109,254.792343139648,28.8147506713867,12.6467504501343,16.1679992675781,23.8165416717529,18.8640422821045,23.8165416717529,17.7918758392334,2578,430,74,61.3506774902344,1242,303,1242,372
"Indri indri",47.863053,-18.500261,18.0170631408691,11.1489582061768,64.3054580688477,260.436614990234,25.9477500915527,8.61025047302246,17.3374996185303,20.5711250305176,14.5912914276123,20.5837917327881,14.5129585266113,1370,310,19,97.0428161621094,825,67,780,74
"Indri indri",48.505397,-18.843832,21.0634384155273,10.3508338928223,64.0204925537109,254.792343139648,28.8147506713867,12.6467504501343,16.1679992675781,23.8165416717529,18.8640422821045,23.8165416717529,17.7918758392334,2578,430,74,61.3506774902344,1242,303,1242,372
"Indri indri",48.44184,-18.995113,19.15012550354,10.6996669769287,64.2545394897461,267.000823974609,27.2245006561279,10.5725002288818,16.6520004272461,21.9760837554932,16.9418754577637,21.9761657714844,15.7165412902832,1814,325,51,71.144889831543,911,178,907,238
"Indri indri",48.405754,-18.978298,19.15012550354,10.6996669769287,64.2545394897461,267.000823974609,27.2245006561279,10.5725002288818,16.6520004272461,21.9760837554932,16.9418754577637,21.9761657714844,15.7165412902832,1814,325,51,71.144889831543,911,178,907,238
