"","longitude","latitude","bio_1","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19"
"background",48.5833333333333,-13.0833333333333,26.8374996185303,7.60833358764648,65.5890808105469,141.952682495117,32,20.3999996185303,11.6000003814697,27.9166660308838,24.9166660308838,28.1333332061768,24.9166660308838,1947,487,22,103.705123901367,1211,74,866,74
"background",40.0833333333333,-11.4166666666667,24.8523654937744,9.76172924041748,71.1548156738281,146.100631713867,31.1082496643066,17.3892498016357,13.7189998626709,26.2097911834717,23.0543327331543,26.3390426635742,22.8809585571289,1067,226,6,97.3667144775391,617,24,546,28
"background",46.0833333333333,-18.9166666666667,22.8629474639893,13.2469797134399,67.1975021362305,191.356002807617,31.4717502593994,11.7582502365112,19.7135009765625,24.3062496185303,20.0923328399658,24.5085830688477,20.0923328399658,1551,351,6,105.637641906738,948,18,769,18
"background",49.25,-14.5833333333333,18.2553329467773,11.2573747634888,68.9716186523438,227.158355712891,26.0372505187988,9.71549987792969,16.3217506408691,20.5412082672119,15.1917915344238,20.5412082672119,15.1917915344238,1593,298,25,84.1234741210938,870,102,870,102
"background",47.5833333333333,-16.0833333333333,26.7062606811523,13.0528545379639,67.9668045043945,175.424240112305,35.5742492675781,16.369499206543,19.2047500610352,27.8992919921875,24.174373626709,28.369291305542,24.174373626709,1493,440,1,126.537368774414,1086,4,764,4
"background",47.0833333333333,-22.0833333333333,18.4290943145752,10.3197288513184,61.6112403869629,261.164886474609,25.943000793457,9.19324970245361,16.7497520446777,21.1584587097168,15.3964996337891,21.1584587097168,14.8494997024536,1306,278,30,87.9353790283203,743,99,743,102
"background",44.9166666666667,-17.75,25.4792194366455,12.2792701721191,67.7944488525391,164.334533691406,33.2955017089844,15.1829996109009,18.1125030517578,26.588041305542,23.3245830535889,26.9070415496826,23.0542907714844,1543,390,2,110.05696105957,976,12,469,14
"background",48.4166666666667,-19.0833333333333,19.1501560211182,10.2908954620361,63.401741027832,263.652587890625,27.089750289917,10.8584995269775,16.2312507629395,22.0004177093506,16.9162921905518,22.0004177093506,15.8204584121704,1980,341,54,67.9133834838867,967,198,967,274
"background",46.0833333333333,-25.0833333333333,23.1986560821533,13.8261871337891,65.9033203125,302.788604736328,32.6604995727539,11.6809997558594,20.9794998168945,26.5277919769287,19.8947906494141,26.5277919769287,19.2391242980957,566,93,15,62.7215385437012,276,55,276,88
"background",47.25,-14.75,26.4759254455566,10.8074073791504,72.8589324951172,123.05965423584,32.9555549621582,18.1222229003906,14.8333320617676,27.2722225189209,24.6944446563721,27.448148727417,24.6944446563721,1582,474,4,121.778015136719,1085,15,681,15
"background",44.5833333333333,-21.25,23.9371147155762,13.2238960266113,63.4262390136719,262.456115722656,33.117000579834,12.267749786377,20.849250793457,26.4321670532227,20.2716255187988,26.4545822143555,20.2716255187988,882,251,2,122.77360534668,628,7,500,7
"background",48.4166666666667,-21.0833333333333,23.3181400299072,8.26574611663818,58.9735565185547,230.126388549805,29.7524852752686,15.7364645004272,14.0160207748413,25.8873844146729,21.3893184661865,25.8873844146729,20.4015655517578,2682,391,104,44.100040435791,1111,360,1111,506
"background",47.0833333333333,-18.5833333333333,19.2782611846924,12.1239376068115,67.1891021728516,222.580871582031,27.1687507629395,9.1242504119873,18.0445003509521,21.33420753479,16.1250419616699,21.33420753479,16.1250419616699,1435,353,6,107.511032104492,903,21,903,21
"background",46.9166666666667,-22.9166666666667,21.1941566467285,11.3461875915527,62.4171371459961,273.499694824219,29.4085006713867,11.2305002212524,18.1780014038086,24.0330829620361,18.1781253814697,24.0330829620361,17.4879989624023,1422,287,28,83.5849533081055,772,104,772,122
