Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.30641E-11,0.000000002,0,0.998117647,0,0
1.48804E-11,0.000000003,0,0.997647059,0,0
2.38773E-11,0.000000011,0,0.995764706,0,0
3.85319E-11,0.000000029,0,0.993411765,0,0
6.79822E-11,0.000000104,0.000000001,0.986823529,0,0
1.11478E-10,0.000000259,0.000000001,0.978823529,0,0
3.3218E-10,0.000001012,0.000000003,0.962823529,0,0
6.09418E-10,0.000002529,0.000000005,0.947764706,0,0
1.80032E-9,0.000010064,0.000000014,0.917176471,0,0
3.48526E-9,0.000025189,0.000000027,0.889411765,0,0
6.33176E-9,0.00005032,0.00000005,0.865411765,0,0
1.06261E-8,0.00010031,0.000000083,0.837176471,0,0
2.06981E-8,0.000251712,0.000000162,0.789647059,0,0
3.51992E-8,0.000501372,0.000000275,0.746823529,0.000937207,0
6.78486E-8,0.001005065,0.000000531,0.699294118,0.000937207,0
1.55301E-7,0.00251414,0.000001215,0.632,0.000937207,0
2.83631E-7,0.005015782,0.000002219,0.576,0.000937207,0
4.89281E-7,0.010036947,0.000003828,0.513411765,0.001405811,0
1.33933E-6,0.025089992,0.000010479,0.426823529,0.002343018,0
2.85401E-6,0.050285258,0.00002233,0.368,0.002811621,0
5.73414E-6,0.100135757,0.000044864,0.311058824,0.002811621,0
1.14555E-5,0.200433677,0.000089625,0.253647059,0.005623243,0
1.7463E-5,0.301152423,0.000136623,0.220235294,0.005623243,0
2.64033E-5,0.40018753,0.000206561,0.198588235,0.005623243,0
3.37835E-5,0.501376834,0.000264291,0.182588235,0.005623243,0
4.12776E-5,0.603677298,0.000322909,0.169882353,0.00656045,0
4.91181E-5,0.70434282,0.000384232,0.159529412,0.007497657,0
5.31499E-5,0.750477857,0.000415765,0.155294118,0.007497657,0
5.55704E-5,0.804913062,0.000434695,0.150588235,0.007497657,0
6.68694E-5,0.90355384,0.000523057,0.143058824,0.007497657,0
7.36066E-5,1.002507469,0.000575741,0.136470588,0.011246485,0
8.02432E-5,1.102408627,0.000627636,0.130352941,0.012183693,0
8.68063E-5,1.20208586,0.000678953,0.124705882,0.014058107,0
9.5223E-5,1.302786831,0.000744759,0.119529412,0.014058107,0
1.01351E-4,1.401789209,0.000792672,0.114823529,0.015463918,0
1.16232E-4,1.51141982,0.000908997,0.110117647,0.016869728,0
1.3946E-4,1.752188328,0.001090553,0.101176471,0.018744142,0
1.6129E-4,2.00484711,0.001261155,0.093176471,0.02108716,0
2.07427E-4,2.26249179,0.001621618,0.086588235,0.022492971,0
2.55019E-4,2.517630592,0.001993312,0.081411765,0.022961575,0
3.25886E-4,2.828602441,0.002546522,0.076705882,0.025304592,0
3.84983E-4,3.006700951,0.003007619,0.074352941,0.025304592,0
5.06886E-4,3.268006487,0.003958084,0.071529412,0.033270853,0
5.62567E-4,9.223868323,0.004391919,0.016470588,0.087628866,0
5.63746E-4,9.280242959,0.004401108,0.016,0.087628866,0
6.20381E-4,9.519222852,0.004842176,0.014117647,0.087628866,0
9.19803E-4,9.835348553,0.007170816,0.012235294,0.08809747,0
1.03038E-3,10.033546078,0.008029436,0.011294118,0.08809747,0
1.36336E-3,10.281474243,0.010610409,0.010352941,0.088566073,0
1.51452E-3,10.581126725,0.011779859,0.009411765,0.097469541,0
1.82051E-3,10.932026024,0.014142922,0.008470588,0.097469541,0
1.90975E-3,11.123001111,0.014831048,0.008,0.097938144,0
1.97688E-3,11.320688955,0.015348337,0.007529412,0.098406748,0
3.1965E-3,11.640339155,0.024699674,0.007058824,0.098406748,0
3.23286E-3,11.963624743,0.024977046,0.006588235,0.099812559,0
5.5014E-3,12.513764868,0.042130418,0.006117647,0.100281162,0
5.65141E-3,13.078905682,0.043253984,0.005647059,0.101218369,0
7.75926E-3,13.854831961,0.05890335,0.005176471,0.114339269,0
8.3898E-3,14.693811928,0.063534722,0.004705882,0.114339269,0
9.85831E-3,15.679643419,0.074232985,0.004235294,0.11574508,0
1.00193E-2,16.681571831,0.075398202,0.003764706,0.118556701,0
1.01274E-2,17.694309712,0.076179849,0.003294118,0.119962512,0
1.02396E-2,18.718268285,0.076990535,0.002823529,0.119962512,0
1.15615E-2,19.87442205,0.086488126,0.002352941,0.127460169,0
4.87084E-2,24.745264095,0.316890921,0.001882353,0.127460169,0
5.30368E-2,30.04894289,0.339637539,0.001411765,0.19868791,0
5.87818E-2,35.927122265,0.368663355,0.000941176,0.28163074,0
6.40729E-1,100,0.99335002,0.000470588,0.341611996,0
6.40729E-1,100,0.99335002,0,0.341611996,0
